FSCA	EGFP	classification
623015.5	1445.45	low
389175.2	1442.3	low
742573.5	1440.15	low
338338.9	1435.15	low
474032.7	1429.5	low
618312	1410.65	low
468652.8	1406.85	low
489770.6	1406.5	low
483979.3	1402.7	low
511814.5	1396.95	low
676726.7	1394.15	low
738866.7	1393.9	low
528794.6	1383.25	low
701376.9	1376.45	low
429763.9	1375.95	low
471965.9	1373.85	low
476143.8	1373.15	low
485127.6	1367.05	low
508694.4	1358.4	low
414709	1352.8	low
466771.2	1350.6	low
407755.5	1346.9	low
470911.1	1344.55	low
376057.6	1337.85	low
708654.5	1333.95	low
489019.8	1327.6	low
447828	1326.75	low
363263.9	1326.4	low
721332.9	1318.5	low
440202.4	1312.1	low
553343.2	1308.7	low
363604.5	1306.55	low
507571	1306	low
371798.4	1300.9	low
454216.6	1300.2	low
383115.3	1296.25	low
619106.3	1292.5	low
404296.8	1289.8	low
546580.7	1279.7	low
450812.3	1275.8	low
399182.5	1272.05	low
414332.3	1263.75	low
561955.4	1258.35	low
414771.1	1257.65	low
557768.6	1247.6	low
687455.5	1245.5	low
398211	1244.55	low
490209.3	1231.15	low
456722.4	1226.7	low
661588.8	1221	low
671776.2	1218.55	low
486045.3	1201.25	low
550177.3	1200.4	low
555961.7	1196.95	low
589287.4	1193.15	low
581621.5	1184.15	low
674892.5	1179.65	low
639762.8	1178.5	low
440937.6	1174.05	low
541473.1	1173.15	low
536125.4	1169.05	low
674079.3	1164.55	low
470199.6	1159.6	low
509992	1156.5	low
382590.1	1149.05	low
620718.5	1141.25	low
421589.9	1132.4	low
388372.2	1129.8	low
499710.3	1127.2	low
695260.5	1118.05	low
585463.6	1116.5	low
245255.9	1113.9	low
482532.5	1113	low
693423.4	1100.4	low
755739.1	1099.1	low
485283.1	1085	low
517166.9	1073.8	low
274090.3	1070.15	low
471667.6	1064.6	low
588483.9	1061.25	low
615363.2	1040.3	low
704542.1	1036.25	low
500173.5	1025.15	low
371063.5	1022.2	low
579880.9	1018.8	low
567694.4	1001.15	low
403172.5	999.25	low
641388.1	988.95	low
521119.8	984.75	low
422739.2	979.5	low
508825.3	972.55	low
694425.7	969.85	low
340010	965.1	low
741680	958.2	low
604322.6	954.45	low
647826.6	954.05	low
453690.1	950.85	low
359255	943.35	low
612984.6	940.65	low
398152.8	940.5	low
534227.2	939.3	low
313437.8	929.85	low
555292.5	927.3	low
404764.5	925.55	low
407579.6	920.95	low
360839.4	918.75	low
506118.8	914.25	low
454864.3	906.55	low
315376.9	905.4	low
289325.8	886.8	low
501708.3	880.2	low
379839.1	878.3	low
407474.9	878.2	low
292414.7	873.6	low
435331.7	872.5	low
674439.5	869.95	low
475484.8	868.9	low
680522.5	866.8	low
566066.9	864.2	low
487268	856.05	low
501229.8	848.15	low
733428.5	839.75	low
593835.3	836.65	low
277081.5	819.8	low
668564.8	818.5	low
468453.2	801.75	low
512016.2	800.75	low
377402.7	800.4	low
466136.4	797	low
577561.5	792.15	low
444048.1	788.65	low
487212.8	787	low
514846.1	778.4	low
